File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_states.py,446,363,3,22,83,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_states_demo.py,67,51,2,7,16,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_static.py,309,259,9,29,50,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_tools.py,406,334,16,22,72,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_tutorials.py,211,166,2,3,45,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_virtualhost.py,114,90,4,7,24,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_wsgiapps.py,118,87,0,16,31,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_wsgi_ns.py,88,59,5,12,29,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_wsgi_vhost.py,46,26,1,6,20,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_xmlrpc.py,176,135,5,18,41,3,0,9,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\webtest.py,598,507,1,117,91,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\__init__.py,6,3,0,0,3,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\bonus-sqlobject.py,169,125,0,7,44,4,0,8,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut01_helloworld.py,36,27,0,2,9,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut02_expose_methods.py,29,20,0,3,9,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut03_get_and_post.py,50,38,0,7,12,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut04_complex_site.py,93,69,0,5,24,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut05_derived_objects.py,79,60,0,5,19,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut06_default_method.py,60,46,0,5,14,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut07_sessions.py,40,27,1,2,13,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut08_generators_and_yield.py,42,28,0,4,14,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut09_files.py,100,77,1,7,23,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\tut10_http_errors.py,78,59,2,3,19,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial\__init__.py,3,2,0,0,1,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\wsgiserver\ssl_builtin.py,70,56,3,8,14,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\wsgiserver\ssl_pyopenssl.py,242,197,2,32,45,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\wsgiserver\__init__.py,2075,1771,9,369,304,13,0,13,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\ez_setup.py,134,114,0,8,20,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\setup.py,127,113,0,7,14,2,0,5,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpchecker.py,323,275,3,73,48,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpconfig.py,270,225,10,24,45,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpdispatch.py,569,465,8,75,104,5,0,11,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cperror.py,397,320,9,39,77,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cplogging.py,251,213,1,31,38,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpmodpy.py,334,269,3,27,65,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpnative_server.py,151,124,0,10,27,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpreqbody.py,724,606,6,132,118,4,0,4,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cprequest.py,941,775,14,59,166,2,0,6,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpserver.py,140,118,0,20,22,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpthreadinglocal.py,240,184,2,11,56,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cptools.py,499,392,6,43,107,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cptree.py,279,218,9,33,61,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpwsgi.py,341,273,8,33,68,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\_cpwsgi_server.py,63,50,0,1,13,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\__init__.py,574,451,2,55,123,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\auth.py,80,62,2,16,18,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\auth_basic.py,88,69,4,8,19,1,0,1,0,1
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\auth_digest.py,359,292,5,50,67,1,0,1,0,1
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\caching.py,402,335,4,70,67,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\covercp.py,365,316,63,34,49,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\cptools.py,581,402,4,92,77,6,102,357,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\encoding.py,363,314,0,85,49,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\http.py,8,5,0,0,3,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\httpauth.py,362,280,5,34,82,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\httputil.py,447,361,7,79,86,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\jsontools.py,51,43,0,5,8,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\profiler.py,206,163,1,22,43,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\reprconf.py,346,280,13,58,66,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\sessions.py,742,607,6,97,135,4,0,7,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\static.py,347,296,2,67,51,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\xmlrpc.py,50,38,0,6,12,1,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\__init__.py,45,37,0,7,8,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process\plugins.py,563,470,6,62,93,6,0,8,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process\servers.py,284,242,0,27,42,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process\win32.py,175,136,2,20,39,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process\wspbus.py,385,325,6,32,60,4,0,4,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process\__init__.py,15,11,0,2,4,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\scaffold\__init__.py,62,45,1,5,17,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\benchmark.py,409,333,4,34,76,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\checkerdemo.py,48,43,13,1,5,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\helper.py,277,223,2,31,54,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\logtest.py,182,152,0,30,30,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\modfcgid.py,125,100,1,5,25,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\modpy.py,164,130,3,9,34,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\modwsgi.py,149,118,2,8,31,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\py25.py,41,27,1,5,14,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\sessiondemo.py,153,127,43,15,21,0,5,45,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test.py,552,395,6,47,91,3,66,105,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_auth_basic.py,90,68,5,5,22,1,0,1,0,1
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_auth_digest.py,121,96,5,14,25,1,0,1,0,1
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_bus.py,266,208,2,19,58,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_caching.py,336,276,7,20,60,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_config.py,256,199,10,18,57,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_config_server.py,128,98,2,11,30,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_conn.py,688,559,3,56,129,2,0,3,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_core.py,612,482,7,39,130,2,0,5,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_dynamicobjectmapping.py,303,236,6,30,67,0,0,0,0,0
